task,disease_label,rep,fold,view,SampleKey,y_true,n_cells,attn_entropy,attn_top1,attn_top5_sum,attn_eff_n
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,all,2024Dec_Control-S1,0,103,4.084624183362214,0.0576187442554094,0.2354145629101287,41.25617017742506
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,all,2024Dec_Control-S4,0,109,4.280671959213186,0.0484890570697969,0.1892302221451446,53.861019402313424
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,all,2024Dec_Control-S9,0,84,3.866679522440085,0.0654711327398894,0.2611288893771343,34.5675664234446
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,all,20250430S43,1,69,3.618138158049927,0.0741599315942859,0.3120357432270814,27.854373676212408
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,all,20250430S47,1,96,3.9625720963459994,0.0460065480795864,0.2039091294964542,40.9812494933801
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,all,20250430S50,1,91,3.981101545060157,0.0510309162938613,0.2338188451076351,40.35256652355413
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,all,2025Jan_Pancreas-B13,1,88,3.96930691230619,0.0460677938158401,0.206815099669603,41.64177679206957
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,all,2025Jan_Pancreas-B3,1,83,4.017688285948798,0.0522411246748963,0.2362648530344128,41.659285587893706
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,all,2025Jan_Pancreas-B8,1,93,4.030108190534968,0.0430936476748492,0.1933762983970654,44.85863556839974
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,all,2026Apr-2_Control-20260427S10,0,76,3.9995932516581583,0.0474366781453759,0.1926150893278996,45.37384893305769
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,all,2026Apr-2_Control-20260427S7,0,74,3.848308568394526,0.0655972171112699,0.2725987124760752,34.73094851878111
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,all,2026Apr-2_Control-20260427S9,0,84,4.176263019415288,0.0363528560333314,0.1508880984711938,56.58561276137963
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,all,2026Apr_Control-20260401S12,0,70,3.7046246678440617,0.0607950010344313,0.2722557716712041,31.0669361168
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,all,2026Apr_Control-20260401S5,0,69,3.5498845346340056,0.1034425283892975,0.3942499759027398,22.039634640850448
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,all,2026Apr_Control-20260401S9,0,94,3.9443162502859073,0.0437492889566751,0.2001690489723732,39.96820695488779
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,fp,2024Dec_Control-S1,0,103,3.801948809357025,0.0762767045801246,0.3253712724828501,27.93535690203714
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,fp,2024Dec_Control-S4,0,109,4.133573585388925,0.0625905539484684,0.2251217238827666,43.24500579840608
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,fp,2024Dec_Control-S9,0,84,3.4148793077898425,0.1393708471914347,0.4966170537264474,16.26951022033911
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,fp,20250430S43,1,69,3.393506977949453,0.1011703517333962,0.3960502670984329,20.73282616464685
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,fp,20250430S47,1,96,3.854849807871689,0.0681495747463913,0.2878207090682483,32.551984064550304
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,fp,20250430S50,1,91,3.774250823765922,0.0890376158275563,0.3044077733113425,29.6057747489054
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,fp,2025Jan_Pancreas-B13,1,88,3.791867960758237,0.0756891619550152,0.2693151217092452,32.34801280878752
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,fp,2025Jan_Pancreas-B3,1,83,3.932419178918317,0.0889515296876983,0.2910803050508289,33.82012209715787
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,fp,2025Jan_Pancreas-B8,1,93,3.922236599733644,0.0648048438754171,0.2458859544416434,37.48824513683155
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,fp,2026Apr-2_Control-20260427S10,0,76,3.7616162804034734,0.0697885034085508,0.2715031611302384,31.7918572545272
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,fp,2026Apr-2_Control-20260427S7,0,74,3.5050201278342112,0.0739793723207386,0.3547128402311196,23.54629811645756
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,fp,2026Apr-2_Control-20260427S9,0,84,3.958517958217463,0.0632874641599293,0.2050027297262305,41.45115009590133
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,fp,2026Apr_Control-20260401S12,0,70,3.5229720303010144,0.0905160199341536,0.3458729144511834,23.83445192175379
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,fp,2026Apr_Control-20260401S5,0,69,3.1072866041895018,0.1211173048159513,0.5319426260091574,13.854357151331309
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,fp,2026Apr_Control-20260401S9,0,94,3.715265121613016,0.0551416174411856,0.2604035896354638,31.25321148953341
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,ch,2024Dec_Control-S1,0,103,3.5689488383821795,0.1203442601320285,0.3946040542751545,21.640401971524124
