task,disease_label,rep,fold,view,SampleKey,y_true,n_cells,attn_entropy,attn_top1,attn_top5_sum,attn_eff_n
stage1_MIL_Control_vs_Bile,Bile,2,1,all,2024Dec_Bile-S1,1,102,2.720432542097161,0.2173632272336565,0.6293701549454678,9.53364634077206
stage1_MIL_Control_vs_Bile,Bile,2,1,all,2024Dec_Bile-S8,1,100,3.4034775500000074,0.0859045055035968,0.3450358003918716,22.569794462670004
stage1_MIL_Control_vs_Bile,Bile,2,1,all,2024Dec_Control-S2,0,100,3.433398928889435,0.1545361826314843,0.431650524626927,18.136380631186857
stage1_MIL_Control_vs_Bile,Bile,2,1,all,2024Dec_Control-S5,0,99,3.575609675037381,0.0701124930978431,0.3064184211760595,27.441627033255408
stage1_MIL_Control_vs_Bile,Bile,2,1,all,20250430S1,1,97,3.104585702957295,0.1442955710868669,0.5064964442564226,14.675038009359527
stage1_MIL_Control_vs_Bile,Bile,2,1,all,20250430S14,1,86,3.2302600829250423,0.1155023919933983,0.4352473066222869,17.949075688502912
stage1_MIL_Control_vs_Bile,Bile,2,1,all,20250430S2,1,89,3.023110184701536,0.1179502693632238,0.4989079886895406,14.559146412832105
stage1_MIL_Control_vs_Bile,Bile,2,1,all,20250430S4,1,78,3.0718205724005285,0.1190271457174853,0.4756126945439844,15.814139621715658
stage1_MIL_Control_vs_Bile,Bile,2,1,all,20250430S7,1,56,2.490187034632294,0.2035645112981821,0.7031080694939966,8.574049645414474
stage1_MIL_Control_vs_Bile,Bile,2,1,all,2025Jan_Bile-B24,1,70,3.683634185041505,0.0513090835309455,0.2261276566484167,33.674493380480605
stage1_MIL_Control_vs_Bile,Bile,2,1,all,2026Apr-2_Control-20260427S10,0,76,2.8570009211782104,0.0936404440918334,0.4251383277273423,14.778912378112162
stage1_MIL_Control_vs_Bile,Bile,2,1,all,2026Apr-2_Control-20260427S6,0,94,3.141734666633008,0.0691704436414012,0.3198378498134799,20.39326162880939
stage1_MIL_Control_vs_Bile,Bile,2,1,all,2026Apr_Control-20260401S11,0,55,2.445229872135609,0.1357024786106641,0.6441355848571618,9.158095230844674
stage1_MIL_Control_vs_Bile,Bile,2,1,all,2026Apr_Control-20260401S4,0,58,2.266341315595464,0.254434214280922,0.7822085422463237,6.113871054274549
stage1_MIL_Control_vs_Bile,Bile,2,1,fp,2024Dec_Bile-S1,1,102,2.9082692676956303,0.1840038925885566,0.5823515116139133,10.53688018591356
stage1_MIL_Control_vs_Bile,Bile,2,1,fp,2024Dec_Bile-S8,1,100,3.3004770467930866,0.1114881078613063,0.3718926828561203,19.785207840032875
stage1_MIL_Control_vs_Bile,Bile,2,1,fp,2024Dec_Control-S2,0,100,3.263227426668708,0.104480076653007,0.4470924823047644,17.483439283418207
stage1_MIL_Control_vs_Bile,Bile,2,1,fp,2024Dec_Control-S5,0,99,2.9440056488707897,0.1829910197339865,0.5146806133403045,12.671013409379574
stage1_MIL_Control_vs_Bile,Bile,2,1,fp,20250430S1,1,97,2.634801789934176,0.2459680589753215,0.7130884237964227,7.342924038994128
stage1_MIL_Control_vs_Bile,Bile,2,1,fp,20250430S14,1,86,2.7495939085595644,0.2158463662496012,0.6267555485185186,9.66445353968805
stage1_MIL_Control_vs_Bile,Bile,2,1,fp,20250430S2,1,89,2.8043286682655006,0.1910245837512746,0.5612445018668192,11.270198720634196
stage1_MIL_Control_vs_Bile,Bile,2,1,fp,20250430S4,1,78,2.0917685977447458,0.3046083077097013,0.8458542056186116,5.275871206213038
stage1_MIL_Control_vs_Bile,Bile,2,1,fp,20250430S7,1,56,2.381463187171511,0.3265355999333821,0.7137573816042709,6.46643671901997
stage1_MIL_Control_vs_Bile,Bile,2,1,fp,2025Jan_Bile-B24,1,70,2.917420861921165,0.1701179211625179,0.5248396844817009,12.239053290952077
stage1_MIL_Control_vs_Bile,Bile,2,1,fp,2026Apr-2_Control-20260427S10,0,76,2.768914421654178,0.1418345424518188,0.5835291084926897,11.682437858582498
stage1_MIL_Control_vs_Bile,Bile,2,1,fp,2026Apr-2_Control-20260427S6,0,94,2.5837867158922894,0.1861695515594233,0.683229810412266,8.886621721909057
stage1_MIL_Control_vs_Bile,Bile,2,1,fp,2026Apr_Control-20260401S11,0,55,2.6936477789168265,0.1986526579903798,0.6476164412366721,9.718402579835772
stage1_MIL_Control_vs_Bile,Bile,2,1,fp,2026Apr_Control-20260401S4,0,58,1.963424471439093,0.4413750107816719,0.8222789500028577,3.989685960757261
stage1_MIL_Control_vs_Bile,Bile,2,1,ch,2024Dec_Bile-S1,1,102,3.52511058133657,0.0682254807933653,0.2840456671942685,26.93063641639087
stage1_MIL_Control_vs_Bile,Bile,2,1,ch,2024Dec_Bile-S8,1,100,3.482668519709345,0.08847095688496,0.3664423919006861,23.06465791593479
stage1_MIL_Control_vs_Bile,Bile,2,1,ch,2024Dec_Control-S2,0,100,3.481037814112665,0.092935637095258,0.3619789387152127,22.6392892105212
stage1_MIL_Control_vs_Bile,Bile,2,1,ch,2024Dec_Control-S5,0,99,3.5411922460684973,0.081183277707053,0.3177714484513454,25.82571318243139
stage1_MIL_Control_vs_Bile,Bile,2,1,ch,20250430S1,1,97,3.306938101423713,0.1445560762683754,0.4542397162203532,17.092527716528522
stage1_MIL_Control_vs_Bile,Bile,2,1,ch,20250430S14,1,86,3.168770987833264,0.1309174021428679,0.4932706134179348,15.951694792623153
stage1_MIL_Control_vs_Bile,Bile,2,1,ch,20250430S2,1,89,3.0117908518809853,0.1103843421111655,0.4846859892108507,15.011388992956212
stage1_MIL_Control_vs_Bile,Bile,2,1,ch,20250430S4,1,78,3.158247669651956,0.1202952285209695,0.4217333600695426,17.792031828203722
stage1_MIL_Control_vs_Bile,Bile,2,1,ch,20250430S7,1,56,2.8196578796411504,0.1391996268107863,0.5374704423897305,12.72909801876225
stage1_MIL_Control_vs_Bile,Bile,2,1,ch,2025Jan_Bile-B24,1,70,3.7628269217766297,0.0460186031973684,0.2022285767813905,37.206559804422646
stage1_MIL_Control_vs_Bile,Bile,2,1,ch,2026Apr-2_Control-20260427S10,0,76,3.407486439761849,0.0703793368657675,0.3036955421574922,24.80001284865311
stage1_MIL_Control_vs_Bile,Bile,2,1,ch,2026Apr-2_Control-20260427S6,0,94,3.566003302205837,0.0823539247882882,0.3061802521274144,27.581484713769942
stage1_MIL_Control_vs_Bile,Bile,2,1,ch,2026Apr_Control-20260401S11,0,55,3.157885341836053,0.1138169693850671,0.4489102379123368,17.31463709743607
stage1_MIL_Control_vs_Bile,Bile,2,1,ch,2026Apr_Control-20260401S4,0,58,2.663544649939262,0.1958388457740663,0.6376469138330216,9.820691434383924
stage1_MIL_Control_vs_Bile,Bile,2,2,all,2024Dec_Bile-S10,1,94,3.272908644557352,0.1273163256100855,0.4695152033496463,17.170007540705136
stage1_MIL_Control_vs_Bile,Bile,2,2,all,2024Dec_Bile-S9,1,100,2.860745257503976,0.2174096705805067,0.5849781340523365,10.55485627114433
stage1_MIL_Control_vs_Bile,Bile,2,2,all,2024Dec_Control-S3,0,101,2.957162161371624,0.3134152375408675,0.628908009733482,7.63924861346816
stage1_MIL_Control_vs_Bile,Bile,2,2,all,2024Dec_Control-S7,0,103,3.3105493989839667,0.1245126047683833,0.4114407332924722,19.172225586496417
stage1_MIL_Control_vs_Bile,Bile,2,2,all,20250430S10,1,76,3.194725740571001,0.0917586272497036,0.4081806962153564,18.71064369063208
stage1_MIL_Control_vs_Bile,Bile,2,2,all,20250430S15,1,95,3.5216854200883656,0.0795520815095865,0.3383130353691845,25.585463086620045
stage1_MIL_Control_vs_Bile,Bile,2,2,all,20250430S20,1,59,2.862422794023721,0.1213521503726019,0.5340342790484999,12.915581119617364
stage1_MIL_Control_vs_Bile,Bile,2,2,all,20250430S23,1,77,2.8431694967492427,0.1609445765062087,0.5284901261735451,12.420860277102252
stage1_MIL_Control_vs_Bile,Bile,2,2,all,20250430S9,1,67,3.0936251780192374,0.1469542008400437,0.4912632816481322,14.723140656596556
stage1_MIL_Control_vs_Bile,Bile,2,2,all,2025Jan_Bile-B25,1,67,3.747141988329001,0.0509530044325942,0.2367027113547458,34.256442484225886
stage1_MIL_Control_vs_Bile,Bile,2,2,all,2026Apr-2_Control-20260427S2,0,95,3.1554436197900864,0.0599954921575073,0.2898383230951751,21.18551382889761
stage1_MIL_Control_vs_Bile,Bile,2,2,all,2026Apr-2_Control-20260427S8,0,90,3.2074332114575683,0.0661993850193263,0.3198077101455454,21.09400140285851
stage1_MIL_Control_vs_Bile,Bile,2,2,all,2026Apr_Control-20260401S12,0,70,2.77722095525163,0.1215174462731661,0.5016977499936528,13.235278806446113
stage1_MIL_Control_vs_Bile,Bile,2,2,all,2026Apr_Control-20260401S5,0,69,2.325501761993785,0.2104761333705039,0.7743995703827861,7.312756144351865
stage1_MIL_Control_vs_Bile,Bile,2,2,all,2026Apr_Control-20260401S9,0,94,2.8943068542425667,0.1471786238741393,0.5359572086083609,12.741608491672478
stage1_MIL_Control_vs_Bile,Bile,2,2,fp,2024Dec_Bile-S10,1,94,2.7071968857119773,0.2735915675695418,0.5861927792321562,8.70027035721784
stage1_MIL_Control_vs_Bile,Bile,2,2,fp,2024Dec_Bile-S9,1,100,2.346110263965091,0.1989396264095428,0.7841375367681295,7.303589561055235
stage1_MIL_Control_vs_Bile,Bile,2,2,fp,2024Dec_Control-S3,0,101,3.1529889688294785,0.1683399541295553,0.546305075791268,12.222752874892814
stage1_MIL_Control_vs_Bile,Bile,2,2,fp,2024Dec_Control-S7,0,103,2.996296505781698,0.1648555610437936,0.5388464687994923,12.9909878470768
stage1_MIL_Control_vs_Bile,Bile,2,2,fp,20250430S10,1,76,2.7641970443163606,0.2006735619524461,0.622440201189258,9.40706149894499
stage1_MIL_Control_vs_Bile,Bile,2,2,fp,20250430S15,1,95,2.8502132740246227,0.21579441401,0.5989083193148438,9.995139829398004
stage1_MIL_Control_vs_Bile,Bile,2,2,fp,20250430S20,1,59,3.0922721789687677,0.1044505024609272,0.4323823864238754,17.449125589063605
stage1_MIL_Control_vs_Bile,Bile,2,2,fp,20250430S23,1,77,3.1334402662702665,0.1606341547430794,0.4555587519339176,15.218180354000756
stage1_MIL_Control_vs_Bile,Bile,2,2,fp,20250430S9,1,67,2.967096479835789,0.1683365608560756,0.5745093041417552,12.255835140872206
stage1_MIL_Control_vs_Bile,Bile,2,2,fp,2025Jan_Bile-B25,1,67,2.4780461102877656,0.3941628869180905,0.7026077693274059,5.288968760140279
stage1_MIL_Control_vs_Bile,Bile,2,2,fp,2026Apr-2_Control-20260427S2,0,95,2.6209616876661195,0.1427577301636683,0.5839887172423317,11.082749398775553
stage1_MIL_Control_vs_Bile,Bile,2,2,fp,2026Apr-2_Control-20260427S8,0,90,2.112128511244971,0.243899537728433,0.7812188118597811,6.577394778722584
stage1_MIL_Control_vs_Bile,Bile,2,2,fp,2026Apr_Control-20260401S12,0,70,2.491306526940557,0.2339341657069755,0.6682553636755926,8.503358578913886
stage1_MIL_Control_vs_Bile,Bile,2,2,fp,2026Apr_Control-20260401S5,0,69,1.2596125612531368,0.566178074735576,0.973570965246304,2.4990907149754125
stage1_MIL_Control_vs_Bile,Bile,2,2,fp,2026Apr_Control-20260401S9,0,94,1.7962163900491832,0.5936193358590582,0.8361480959941412,2.652133221855307
stage1_MIL_Control_vs_Bile,Bile,2,2,ch,2024Dec_Bile-S10,1,94,3.292172473502817,0.115537277286434,0.4173251053866971,18.68569635493408
stage1_MIL_Control_vs_Bile,Bile,2,2,ch,2024Dec_Bile-S9,1,100,2.844937246605145,0.2400380312831221,0.5907773382218047,9.81806040760116
stage1_MIL_Control_vs_Bile,Bile,2,2,ch,2024Dec_Control-S3,0,101,3.0212286449188137,0.1890144298413203,0.5791788023315154,11.649999671073507
stage1_MIL_Control_vs_Bile,Bile,2,2,ch,2024Dec_Control-S7,0,103,3.232000455048515,0.1238685509700251,0.4799146791314281,16.590564481416283
stage1_MIL_Control_vs_Bile,Bile,2,2,ch,20250430S10,1,76,3.1578030244462862,0.111713950154802,0.4129347997004529,17.917813804087807
stage1_MIL_Control_vs_Bile,Bile,2,2,ch,20250430S15,1,95,3.357658133939152,0.1198881155473471,0.4102016518335812,19.55906922359568
stage1_MIL_Control_vs_Bile,Bile,2,2,ch,20250430S20,1,59,3.121432921931686,0.1215082917211924,0.4665368453883433,16.22946827984946
stage1_MIL_Control_vs_Bile,Bile,2,2,ch,20250430S23,1,77,2.937389442700032,0.1790145573284844,0.5382352731011586,12.383443772322202
stage1_MIL_Control_vs_Bile,Bile,2,2,ch,20250430S9,1,67,3.116632346767083,0.1235502136727978,0.435422077068077,16.870820363066798
stage1_MIL_Control_vs_Bile,Bile,2,2,ch,2025Jan_Bile-B25,1,67,3.7093617454661945,0.0616323835774968,0.2613390757052761,32.82787201686794
stage1_MIL_Control_vs_Bile,Bile,2,2,ch,2026Apr-2_Control-20260427S2,0,95,2.948078815618682,0.0844464718092894,0.4009027259379926,16.38266435775736
stage1_MIL_Control_vs_Bile,Bile,2,2,ch,2026Apr-2_Control-20260427S8,0,90,2.759682658322744,0.11436304905734,0.5261614606826093,12.797716886997677
stage1_MIL_Control_vs_Bile,Bile,2,2,ch,2026Apr_Control-20260401S12,0,70,2.5471733876089995,0.1788050070661876,0.6598521640498489,9.405611282589048
stage1_MIL_Control_vs_Bile,Bile,2,2,ch,2026Apr_Control-20260401S5,0,69,2.0135491205284546,0.3767699705773935,0.8560889300660715,4.744912644603431
stage1_MIL_Control_vs_Bile,Bile,2,2,ch,2026Apr_Control-20260401S9,0,94,2.704238894328105,0.2176939102936101,0.6520443566696036,9.341317449987123
stage1_MIL_Control_vs_Bile,Bile,2,3,all,2024Dec_Bile-S3,1,87,4.052428974322992,0.0339462073920699,0.1623953110617154,49.57021390527611
stage1_MIL_Control_vs_Bile,Bile,2,3,all,2024Dec_Bile-S5,1,100,2.89407906956703,0.1797147033772808,0.6346484061416982,10.784083974212168
stage1_MIL_Control_vs_Bile,Bile,2,3,all,2024Dec_Control-S1,0,103,3.1914678538519645,0.121727134196982,0.4541703123387947,16.482245970924883
stage1_MIL_Control_vs_Bile,Bile,2,3,all,2024Dec_Control-S8,0,99,3.628955875092608,0.0727689733181202,0.2784100251199058,29.17584493598495
stage1_MIL_Control_vs_Bile,Bile,2,3,all,20250430S12,1,75,3.10877915669383,0.1227875890309049,0.4399419965443213,16.570177353825542
stage1_MIL_Control_vs_Bile,Bile,2,3,all,20250430S16,1,77,2.9375659287256366,0.101037863594895,0.4571349042177584,14.933665819360682
stage1_MIL_Control_vs_Bile,Bile,2,3,all,20250430S21,1,78,3.349468076238981,0.0892364031712476,0.3810750988257533,21.548255628655006
stage1_MIL_Control_vs_Bile,Bile,2,3,all,20250430S5,1,63,3.2301056942340245,0.0794477662813109,0.3566393113565358,20.24586046345024
stage1_MIL_Control_vs_Bile,Bile,2,3,all,20250430S8,1,36,2.232651698733353,0.3934442242908248,0.7480313589240838,4.890122772478925
stage1_MIL_Control_vs_Bile,Bile,2,3,all,2025Jan_Bile-B26,1,44,3.14592473058302,0.1318262920134082,0.4559760610827945,16.799633243795586
stage1_MIL_Control_vs_Bile,Bile,2,3,all,2026Apr-2_Control-20260427S3,0,93,3.307057514873227,0.0635098619231925,0.3004262412614421,23.12576153374276
stage1_MIL_Control_vs_Bile,Bile,2,3,all,2026Apr-2_Control-20260427S7,0,74,2.437977356574583,0.1740463024883862,0.7207602617447619,8.464614770041218
stage1_MIL_Control_vs_Bile,Bile,2,3,all,2026Apr_Control-20260401S2,0,77,2.67416307717149,0.1769398327192813,0.6503652975112942,9.650176925631412
stage1_MIL_Control_vs_Bile,Bile,2,3,all,2026Apr_Control-20260401S7,0,90,3.0411238257883846,0.1039547821530994,0.447319778054126,15.77228517794314
stage1_MIL_Control_vs_Bile,Bile,2,3,fp,2024Dec_Bile-S3,1,87,3.879753640457092,0.0502183143494174,0.2184758664574733,38.27442133882401
stage1_MIL_Control_vs_Bile,Bile,2,3,fp,2024Dec_Bile-S5,1,100,2.726576472493352,0.2490549071791219,0.6352878143112652,8.88587333894561
stage1_MIL_Control_vs_Bile,Bile,2,3,fp,2024Dec_Control-S1,0,103,3.1481543009524837,0.2102789939406519,0.4822970574879904,13.092032776142217
stage1_MIL_Control_vs_Bile,Bile,2,3,fp,2024Dec_Control-S8,0,99,3.059883217696458,0.1211886120087618,0.50628632815309,14.597740844825134
stage1_MIL_Control_vs_Bile,Bile,2,3,fp,20250430S12,1,75,2.525867747136607,0.2186709787847816,0.6846225175992596,8.710661611032188
stage1_MIL_Control_vs_Bile,Bile,2,3,fp,20250430S16,1,77,2.9848672723992573,0.1303557782750576,0.5197412040974605,14.03309621424584
stage1_MIL_Control_vs_Bile,Bile,2,3,fp,20250430S21,1,78,3.44856619550346,0.0755370333146563,0.3161060709401886,24.859269071027505
stage1_MIL_Control_vs_Bile,Bile,2,3,fp,20250430S5,1,63,2.9829517547423183,0.1011587690548815,0.465341625282184,15.47611805798897
stage1_MIL_Control_vs_Bile,Bile,2,3,fp,20250430S8,1,36,1.8098520270378988,0.5833570345172308,0.7711261005457388,2.821438065909566
stage1_MIL_Control_vs_Bile,Bile,2,3,fp,2025Jan_Bile-B26,1,44,2.7535950524912027,0.1825658293259779,0.599101618946956,10.846888488738273
stage1_MIL_Control_vs_Bile,Bile,2,3,fp,2026Apr-2_Control-20260427S3,0,93,3.01467737643775,0.1528403806624161,0.4978559431975415,14.215904834170615
stage1_MIL_Control_vs_Bile,Bile,2,3,fp,2026Apr-2_Control-20260427S7,0,74,2.5080621069341227,0.2824402769168778,0.6998043630481655,7.536183642907971
stage1_MIL_Control_vs_Bile,Bile,2,3,fp,2026Apr_Control-20260401S2,0,77,2.9111567295607355,0.1859737795390863,0.5203649576309953,12.352152539984637
stage1_MIL_Control_vs_Bile,Bile,2,3,fp,2026Apr_Control-20260401S7,0,90,2.714884073662461,0.1947423036588126,0.6608243692502145,9.083468140045344
stage1_MIL_Control_vs_Bile,Bile,2,3,ch,2024Dec_Bile-S3,1,87,3.0471895890672527,0.1373010268860661,0.5251393693966119,13.85922414241037
stage1_MIL_Control_vs_Bile,Bile,2,3,ch,2024Dec_Bile-S5,1,100,2.607656333865377,0.1805738240323263,0.639009679913852,9.835092502634003
stage1_MIL_Control_vs_Bile,Bile,2,3,ch,2024Dec_Control-S1,0,103,2.8531614623172383,0.1450816605278854,0.5726174970206597,12.127923182336758
stage1_MIL_Control_vs_Bile,Bile,2,3,ch,2024Dec_Control-S8,0,99,3.242696701457134,0.1236030899016605,0.4603275239821819,16.982004613114263
stage1_MIL_Control_vs_Bile,Bile,2,3,ch,20250430S12,1,75,3.034231175915961,0.1264268458867961,0.4658588100104675,15.438999121030252
stage1_MIL_Control_vs_Bile,Bile,2,3,ch,20250430S16,1,77,2.792069215792033,0.1667720642314449,0.6052656351403525,11.007294079387476
stage1_MIL_Control_vs_Bile,Bile,2,3,ch,20250430S21,1,78,2.859478630727632,0.1819225375921551,0.559038349423473,11.589017071752131
stage1_MIL_Control_vs_Bile,Bile,2,3,ch,20250430S5,1,63,2.6930305271302672,0.177548143830719,0.6288177347506325,10.073579679285803
stage1_MIL_Control_vs_Bile,Bile,2,3,ch,20250430S8,1,36,2.1026711217969667,0.3663157963014438,0.7966351841019623,5.275023656342958
stage1_MIL_Control_vs_Bile,Bile,2,3,ch,2025Jan_Bile-B26,1,44,3.1192504233904312,0.0986139040793859,0.3767057775790047,18.58216856245397
stage1_MIL_Control_vs_Bile,Bile,2,3,ch,2026Apr-2_Control-20260427S3,0,93,3.1769968014713856,0.0673914118931907,0.3104996076232895,21.29881224056696
stage1_MIL_Control_vs_Bile,Bile,2,3,ch,2026Apr-2_Control-20260427S7,0,74,2.2577153988843306,0.185136209358096,0.7554182895522128,7.606569980901987
stage1_MIL_Control_vs_Bile,Bile,2,3,ch,2026Apr_Control-20260401S2,0,77,2.162220322520673,0.331530891981356,0.7927957311904372,5.575072890448842
stage1_MIL_Control_vs_Bile,Bile,2,3,ch,2026Apr_Control-20260401S7,0,90,2.784217812297309,0.1444442677794359,0.5354229579788071,12.290055849468231
stage1_MIL_Control_vs_Bile,Bile,2,4,all,2024Dec_Bile-S2,1,101,2.943072571930599,0.1836125540094432,0.5955693979055133,10.915222613794544
stage1_MIL_Control_vs_Bile,Bile,2,4,all,2024Dec_Bile-S6,1,101,2.830307356150252,0.1509274666578699,0.6007610609900529,11.540201486435588
stage1_MIL_Control_vs_Bile,Bile,2,4,all,2024Dec_Control-S10,0,95,3.5079237737129447,0.1137807762723552,0.4130593102552171,20.802401292232343
stage1_MIL_Control_vs_Bile,Bile,2,4,all,2024Dec_Control-S6,0,98,3.116930641490939,0.1212640318251094,0.5187956395440343,14.435213422304658
stage1_MIL_Control_vs_Bile,Bile,2,4,all,20250430S11,1,60,2.781591503477524,0.159462031257392,0.61431414051925,11.221208168304177
stage1_MIL_Control_vs_Bile,Bile,2,4,all,20250430S17,1,64,3.2086080658301026,0.0988738069382274,0.3878183806323659,19.461141842220417
stage1_MIL_Control_vs_Bile,Bile,2,4,all,20250430S22,1,63,2.712448143717853,0.1458500239521501,0.512467503280456,12.391505250080836
stage1_MIL_Control_vs_Bile,Bile,2,4,all,20250430S6,1,84,2.9962125143157854,0.1341601439373477,0.4814652945847907,14.640390627802065
stage1_MIL_Control_vs_Bile,Bile,2,4,all,2025Jan_Bile-B23,1,33,2.994663422754778,0.0906700717394261,0.3929686629376638,17.180897548021278
stage1_MIL_Control_vs_Bile,Bile,2,4,all,2025Jan_Bile-B27,1,37,3.089529125286364,0.0813810965932753,0.3758497348252725,19.167974605937296
stage1_MIL_Control_vs_Bile,Bile,2,4,all,2026Apr-2_Control-20260427S4,0,80,3.200552799727415,0.0729164405202818,0.3341297761391799,20.830597050597014
stage1_MIL_Control_vs_Bile,Bile,2,4,all,2026Apr-2_Control-20260427S9,0,84,3.238223403758276,0.0778480912836146,0.3556065688394828,20.332712169056997
stage1_MIL_Control_vs_Bile,Bile,2,4,all,2026Apr_Control-20260401S3,0,77,3.032354215382987,0.1254953711820712,0.4485666792903777,15.64100610732605
